	卖点	label
0	厚实有嚼劲	1
1	一个比一个酸	0
2	口感鲜嫩软滑	1
3	皮薄脆甜多汁	1
4	口感鲜美清脆	1
5	果味清新	1
6	玉米两个	0
7	新鲜利口	1
8	一个粘了	0
9	海苔都不够脆	0
10	这是怎么回事	0
11	买了份斤豆角	0
12	芋头外边很脏	0
13	甘甜爽口	1
14	粒粒真果肉	1
15	清脆爽口鲜嫩	1
16	有一个干掉了	0
17	鲜嫩一翅美味	1
18	浓醇好滋味	1
19	嚼起来太费劲	0
20	完全不粉	0
21	酸爽好滋味	1
22	很小几个	0
23	纯甜离核	1
24	泥巴都是湿的	0
25	添加专利菌	1
26	代表是百合皇	0
27	有一根是烂的	0
28	畅享甘醇水润	1
29	应该是有农药	0
30	质量一般	0
31	酸甜好口感	1
32	全都是太嫩了	0
33	口感脆香甜美	1
34	两个都丢掉了	0
35	甜脆爽口	1
36	其他的有点老	0
37	原来一袋就	0
38	果味清新浓郁	1
39	新鲜微甜脆口	1
40	葱白脆嫩味甜	1
41	这次的有点老	0
42	又贵又酸	0
43	粒饱满无杂质	1
44	跟图片不一样	0
45	口感香浓顺滑	1
46	软塌塌的	0
47	滋味醇厚	1
48	全部坏了	0
49	粉糯鲜香	1
50	还水蜜桃	0
51	口感淡而无味	0
52	那能叫甜玉米	0
53	美味酥脆	1
54	外边太脏了吧	0
55	要想生意长久	0
56	好口感多营养	1
57	茶香怡人	1
58	味道脆甜浓郁	1
59	新鲜饱满圆润	1
60	色泽青葱诱人	1
61	味道脆甜浓郁	1
62	都是泡的	0
63	还有股味道	0
64	一点不正	0
65	口感细腻	1
66	都带泥的	0
67	口感浓郁丝滑	1
68	软糯爆汁	1
69	一般一般	0
70	果形饱满均匀	1
71	就是不新鲜的	0
72	解辣解腻	1
73	鲜嫩爽口	1
74	亲么甚买	0
75	脆甜生津	1
76	部分不甜	0
77	甜嫩爆汁	1
78	果形规整圆润	1
79	脆甜多汁	1
80	还这么贵	0
81	果味清香怡人	1
82	有点蔫了	0
83	新鲜清甜	1
84	还不知道效果	0
85	口感香甜脆嫩	1
86	新鲜水润	1
87	再也不会买了	0
88	这一个斤	0
89	优享甜蜜浓香	1
90	全是大骨	0
91	太小还有坏的	0
92	口感香甜软糯	1
93	梨没水不甜	0
94	自然果香	1
95	果肉清甜爽口	1
96	清香甘甜	1
97	都是坏子	0
98	个头倒是很大	0
99	清甜解油腻	1
100	我还想说	0
101	口口顺滑	1
102	坏了二个	0
103	果子还不熟	0
104	清甜香醇美味	1
105	果肉雪白剔透	1
106	根本没看	0
107	果香怡人	1
108	早餐好拍档	1
109	畅饮酷爽滋味	1
110	半桶没有装满	0
111	鲜嫩多汁	1
112	没有生包死包	0
113	软糯香甜	1
114	瓜色翠绿水灵	1
115	爽脆可口	1
116	我连吃三天	0
117	形美味甜	1
118	爽脆可口	1
119	口感清脆甘甜	1
120	半斤就差一两	0
121	心都坏了烂了	0
122	也都是黄黄的	0
123	口感清甜脆嫩	1
124	入口酸爽多汁	1
125	顺滑可口	1
126	连克都没有	0
127	果型圆润饱满	1
128	奶味浓醇香	1
129	果肉雪白剔透	1
130	劲爽气泡体验	1
131	淡淡清香四溢	1
132	拿回来没细看	0
133	甜味差点	0
134	营养鲜嫩可口	1
135	纯甜离核	1
136	半生不熟	0
137	甜糯无丝	1
138	果肉清甜爽口	1
139	全部都是这种	0
140	从枝头到心头	1
141	清爽不涩口	1
142	味道脆甜浓郁	1
143	味道清甜脆爽	1
144	石榴籽太别大	0
145	没有上一次好	0
146	翠绿鲜嫩	1
147	西瓜有点软了	0
148	就紫薯煮几个	0
149	色泽紫红亮丽	1
150	桃子很软	0
151	质量保证	0
152	不是水蜜桃	0
153	清甜细滑爽口	1
154	浓醇好滋味	1
155	清甜好滋味	1
156	饱腹充饥常备	1
157	奶香醇厚	1
158	四块多有点亏	0
159	有个别瘪瘪了	0
